"","tdf_stages.Stage","tdf_stages.Date","tdf_stages.Distance","tdf_stages.Origin","tdf_stages.Destination","tdf_stages.Type","tdf_stages.Winner","tdf_stages.Winner_Country"
"79","16",2014-07-22,237.5,"Carcassonne","Bagnères-de-Luchon","High mountain stage","Michael Rogers","AUS"
"80","17",2014-07-23,124.5,"Saint-Gaudens","Saint-Lary Pla d’Adet","High mountain stage","Rafal Majka","POL"
"81","18",2014-07-24,145.5,"Pau","Hautacam","High mountain stage","Vincenzo Nibali","ITA"
"82","19",2014-07-25,208.5,"Maubourguet Pays du Val d’Adour","Bergerac","Flat stage","Ramunas Navardauskas","LTU"
"83","20",2014-07-26,54,"Bergerac","Périgueux","Individual time trial","Tony Martin","GER"
"84","21",2014-07-27,137.5,"Évry","Paris","Flat stage","Marcel Kittel","GER"
"85","1",2013-06-29,213,"Porto-Vecchio","Bastia","Flat stage","Marcel Kittel","GER"
"86","2",2013-06-30,156,"Bastia","Ajaccio","Medium mountain stage","Jan Bakelants","BEL"
"87","3",2013-07-01,145.5,"Ajaccio","Calvi","Medium mountain stage","Simon Gerrans","AUS"
"88","4",2013-07-02,25,"Nice","Nice","Team time trial","Orica–GreenEDGE",NA
"89","5",2013-07-03,228.5,"Cagnes-sur-Mer","Marseille","Flat stage","Mark Cavendish","GBR"
"90","6",2013-07-04,176.5,"Aix-en-Provence","Montpellier","Flat stage","André Greipel","GER"
"91","7",2013-07-05,205.5,"Montpellier","Albi","Flat stage","Peter Sagan","SVK"
"92","8",2013-07-06,195,"Castres","Ax 3 Domaines","High mountain stage","Chris Froome","GBR"
"93","9",2013-07-07,168.5,"Saint-Girons","Bagnères-de-Bigorre","High mountain stage","Dan Martin","IRL"
"94","10",2013-07-09,197,"Saint-Gildas-des-Bois","Saint-Malo","Flat stage","Marcel Kittel","GER"
"95","11",2013-07-10,33,"Avranches","Mont Saint-Michel","Individual time trial","Tony Martin","GER"
"96","12",2013-07-11,218,"Fougères","Tours","Flat stage","Marcel Kittel","GER"
"97","13",2013-07-12,173,"Tours","Saint-Amand-Montrond","Flat stage","Mark Cavendish","GBR"
"98","14",2013-07-13,191,"Saint-Pourçain-sur-Sioule","Lyon","Medium mountain stage","Matteo Trentin","ITA"
"99","15",2013-07-14,242.5,"Givors","Mont Ventoux","High mountain stage","Chris Froome","GBR"
"100","16",2013-07-16,168,"Vaison-la-Romaine","Gap","High mountain stage","Rui Costa","POR"
"101","17",2013-07-17,32,"Embrun","Chorges","Individual time trial","Chris Froome","GBR"
"102","18",2013-07-18,172.5,"Gap","Alpe d'Huez","High mountain stage","Christophe Riblon","FRA"
"103","19",2013-07-19,204.5,"Le Bourg-d'Oisans","Le Grand-Bornand","High mountain stage","Rui Costa","POR"
"104","20",2013-07-20,125,"Annecy","Semnoz","High mountain stage","Nairo Quintana","COL"
"105","21",2013-07-21,133.5,"Versailles","Paris","Flat stage","Marcel Kittel","GER"
"106","P",2012-06-30,6.4,"Liège","Liège","Individual time trial","Fabian Cancellara","SUI"
"107","1",2012-07-01,198,"Liège","Seraing","Flat stage","Peter Sagan","SVK"
"108","2",2012-07-02,207.5,"Visé","Tournai","Flat stage","Mark Cavendish","GBR"
"109","3",2012-07-03,197,"Orchies","Boulogne-sur-Mer","Medium mountain stage","Peter Sagan","SVK"
"110","4",2012-07-04,214.5,"Abbeville","Rouen","Flat stage","André Greipel","GER"
"111","5",2012-07-05,196.5,"Rouen","Saint-Quentin","Flat stage","André Greipel","GER"
"112","6",2012-07-06,207.5,"Épernay","Metz","Flat stage","Peter Sagan","SVK"
"113","7",2012-07-07,199,"Tomblaine","La Planche des Belles Filles","Medium mountain stage","Chris Froome","GBR"
"114","8",2012-07-08,157.5,"Belfort","Porrentruy","Medium mountain stage","Thibaut Pinot","FRA"
"115","9",2012-07-09,41.5,"Arc-et-Senans","Besançon","Individual time trial","Bradley Wiggins","GBR"
"116","10",2012-07-11,194.5,"Mâcon","Bellegarde-sur-Valserine","High mountain stage","Thomas Voeckler","FRA"
"117","11",2012-07-12,148,"Albertville","La Toussuire-Les Sybelles","High mountain stage","Pierre Rolland","FRA"
"118","12",2012-07-13,226,"Saint-Jean-de-Maurienne","Annonay-Davézieux","Medium mountain stage","David Millar","GBR"
"119","13",2012-07-14,217,"Saint-Paul-Trois-Châteaux","Cap d'Agde","Flat stage","André Greipel","GER"
"120","14",2012-07-15,191,"Limoux","Foix","High mountain stage","Luis León Sánchez","ESP"
"121","15",2012-07-16,158.5,"Samatan","Pau","Flat stage","Pierrick Fédrigo","FRA"
"122","16",2012-07-18,197,"Pau","Bagnères-de-Luchon","High mountain stage","Thomas Voeckler","FRA"
"123","17",2012-07-19,143.5,"Bagnères-de-Luchon","Peyragudes","High mountain stage","Alejandro Valverde","ESP"
"124","18",2012-07-20,222.5,"Blagnac","Brive-la-Gaillarde","Flat stage","Mark Cavendish","GBR"
"125","19",2012-07-21,53.5,"Bonneval","Chartres","Individual time trial","Bradley Wiggins","GBR"
"126","20",2012-07-22,120,"Rambouillet","Paris","Flat stage","Mark Cavendish","GBR"
"127","1",2011-07-02,191.5,"Passage du Gois","Mont des Alouettes","Flat stage","Philippe Gilbert","BEL"
"128","2",2011-07-03,23,"Les Essarts","Les Essarts","Team time trial","Garmin–Cervélo",NA
"129","3",2011-07-04,198,"Olonne-sur-Mer","Redon","Flat stage","Tyler Farrar","USA"
"130","4",2011-07-05,172.5,"Lorient","Mûr-de-Bretagne","Flat stage","Cadel Evans","AUS"
"131","5",2011-07-06,164.5,"Carhaix","Cap Fréhel","Flat stage","Mark Cavendish","GBR"
